apt_name,gym,pool,study_lounge,parking ,rooftop / courtyard,in_unit_washer/dryer,Elevator,Bicycle Storage,pet_allowed
Here,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Hub,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Dean,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
ICON,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gregory,No,No,No,Yes,No,Yes,Yes,Yes,No
Yugo,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
T3,Yes,No,Yes,Yes,,No,Yes,Yes,No
Octave,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
75 Armory,No,No,No,Yes,Yes,Yes,Yes,Yes,No
Illini Manor,No,No,No,No,Yes,No,Yes,,No
707,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Latitude,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
