apt_name,source,rating,review_year,title,text,url
Dean,apartments.com,1,5/4/24,NEVER LIVE AT THE DEAN,"Living at the Dean has been a real disappointment. Initially, the management seemed hospitable, but once you're in, their attitude changes drastically. They resort to personal targeting if you don't renew your lease with them. Moreover, the amenities, which are often dysfunctional, become a sore point. Any attempt to address these issues is met with hostility. The new staff, Sam, lacks basic hospitality skills and tends to blame residents for complaints rather than addressing them constructively. He said I quote ""Don't cause disruption in my front desk"" when I tried complaining about their unequal treatment to residents who didn't renew. It's disheartening that they don't recognize residents' rights over the amenities they pay for. Instead, they imply that complaining about them will lead to consequences, causing mental distress. In summary, I'm eagerly awaiting the opportunity to move out of here.",https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/#reviewsSection
Dean,apartments.com,3,10/29/22,3 stars,"It is a good location but has an expensive utility fee which is higher than how much I was told before I moved in. If you just prefer to find a well-located apartment, I think the Dean can be a good choice.",https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/#reviewsSection
Dean,apartments.com,5,4/21/22,Best of the Best,"I've lived at multiple different properties around UIUC and I can honestly say this has been my absolute best experience! Between the beautiful amenities, location, and perks, The Dean is the best property on campus. Living here just feels like a resort style experience. The staff is always super friendly and makes me feel at home.",https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/#reviewsSection
Dean,apartments.com,5,1/6/22,Great Place to Live,"I love living here at the Dean! The apartments are very nice and updated, the amenities and rooftop are incredible, and everyone is very friendly.",https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/#reviewsSection
Dean,apartments.com,2,9/4/20,Great building---poor customer service,"This place is brand new and has excellent amenities. However the staff there is not easy to work with, they don't respond to messages promptly and just generally not very flexible. Also be careful on 4Br units as there is a significant disparity in the size of the bedrooms and windows in them for the same price per unit that the students will pay.",https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/#reviewsSection
Latitude,apartments.com,5,3/26/20,nice place! sending package to each door,Nice place! sending the package to each door during coronavirus! New management team is nice,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Latitude,apartments.com,2,6/16/21,Beware,"Yes its close to UIUC. However, the HVAC breaks. It's June and its 76 degrees in the apt. During the winter, it gets turned up so high you have open the window and let cold air in. And the pool is NEVER open. Never. Never.",https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Latitude,apartments.com,1,8/2/21,Nothing Gets Fixed. Employees Don't Care.,"Heat was broken for weeks in the winter and now A/C has been down for 2 months. Room gets up to 95° and management basically said ""tough luck"" and don't offer anything for the trouble. Locks on doors are battery powered and they've gone dead and I've been locked out of my own apartment multiple times. Elevators have been down. Pool has been closed entire summer. I've put in multiple maintenance request for multiple problems for the past 9 months and they all get marked as complete and not a single employee has been up to check on the problems.",https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Latitude,apartments.com,1,8/9/21,"Awful experiences with office, thin walls, utilities out of use","Asked for early move-in (2 weeks), approved in Dec for Aug move-in. Call 3 weeks before move-in date, office claims they didn't approve, glad I had it in writing. Call a week before and a day before to recheck, told move-in at 12. Arrive at 12, get shown to absolutely filthy room, apparently didn't have it in schedule to clean. Then sent to new room, told I couldn't get parking until maintenance form was filled out (not available). Form came online 30 min before office closed, so I rushed filling it out. Now finding tons of things broken like lights, dishwasher, and fixtures that they say I'm liable for. Thin walls, noisy.",https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Latitude,apartments.com,1,8/10/21,"Awful maintenance, cheap, noisy","Keeps charging maintenance fees for things that were broken when I moved in. Thin walls, noisy, leasing office is abysmal. Everything seems cheaply made, but they charge you through the roof to fix if you you report it broken. Pool is closed for maintenance, no posting or information about reopening. Finally, air conditioning is constantly freezing me out, or the place is 80 degrees. It basically has an on/off setting that doesn't consider the thermostat. Overall experience: frustrating and uncomfortable",https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Latitude,apartments.com,1,9/23/21,Charging an entire month of rent for five days,"There are so many reasons why the management is of an abysmal quality, but my main grievance is as follows: I signed a lease at the end of August. However, the move in date printed on the lease (Sep 12) was actually just a lie due to the fact that they had rented out more apartments than they actually had capacity for. After playing phone tag for weeks, I have now been given a move in date of September 25. However, I am still being charged for the ENTIRE MONTH of September. Unbelievably scummy, and I have not even moved in yet.",https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Latitude,apartments.com,1,2/7/22,Worst apartment experience,The furnishings are cheap. It’s fully furnished but I would’ve much rather brought my own stuff. The H-Vac is constantly broke. The pool has been closed with no notice of reopening. Also according to their lease agreement that do not have to plow or shovel the parking lots or walk ways. So after a foot of snow my car was stuck for a week until requested they give me a shovel. The worst part is my bedroom thermostat says it is 62* when I have the knob turned to the highest heat but it just keeps running and blowing cold air.,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Latitude,apartments.com,1,4/6/23,"Malfunctioning HVAC, mold growth in apartments, inconsistent management.","Do NOT live here. I have been in the same apartment since July 2021, renewed way too soon and regretted it as things quickly went downhill. To begin, the HVAC goes out once a month on average, sometimes more often. I have dealt with no AC causing temps to rise near 90F, as well as no heat and temps getting near 60F. Whenever this happens, it takes days, if not weeks, to be fixed because their HVAC maintenance team is located in St. Louis, MO. Because the HVAC malfunctions so frequently, there is high moisture content causing mold growth in my ducts. I quickly found that out by the mold growing on my ceiling, ruining my belongings, plus I had an air quality test done. I have experienced severe allergies because of this, resulting in countless doctor/specialist appointments. Management continued to run me in circles, refusing to fix the issue despite all of the evidence I had. I went beyond what I should have had to do by purchasing air purifiers, a dehumidifier (that got dumped ~5 times a day for a one bed), and dusting/vacuuming multiple times a week. I eventually got to speak to someone at corporate who scheduled the cleaning nearly 12 months later after consistent complaining. Speaking of management, it is the most inconsistent thing I’ve seen. I have had four property managers since signing my lease. Folks in the office are usually kind, but nothing ever gets done when there’s an issue. Keep in mind, management was made aware of EVERY single time one of these listed issues occurred. I know that Latitude management responds to poor reviews saying they “set a high standard” for themselves. I can assure you that this standard does not shine through in their work. I am counting down my days here…",https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Latitude,apartments.com,1,2/5/25,DO NOT live here,"I am a current tenant and the only good thing about this flat that I can think of is its proximity to the school. the HAC breaks down a lot, especially in the winter! I've woken up freezing in the morning several days, you go to the staff and they will just tell you that everyone is just like you to keep waiting for the problem to be fixed, but that usually takes four or five days. Also latitude's fees are very excessive, charging two months deposit for international students, if your programme is a year and a half then unfortunately one month of that deposit will be used as a subletting fee, and if you choose to face the south or live on the top floor you will be charged an extra fee every month. The other and in my opinion the most serious problem is that it is very, very, very poorly soundproofed, if you are close to the road then you will hear ambulance sirens all the time at night. Then the soundproofing upstairs and downstairs is also unbearable, if you have an unruly family living upstairs who like to party then my friend you don't want to sleep. Even on weekdays, the annoying sound of footsteps makes it impossible to concentrate on your work. How annoying is it? You can tell exactly what time the occupant above you gets out of bed and then where in the room and when they're in the shower and when they're sitting in a chair shaking their legs, rubbish living experience ever!",https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Seven07,apartments.com,5,11/9/18,Staff was super nice,When looking at apartments for the upcoming school year I passed 707's leasing trailer and was kindly greeted by a girl right away. She made me feel super comfortable and got me hooked with all the amenities. I even got a snacks and a drink. It was nice to see what the kitchen and living room would look like in person since they're still building the apartment. After a couple a days I decided to sign for a 2 bed with my friend and they were super helpful during the process. I cannot wait to live here next year!,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Seven07,apartments.com,5,11/16/18,Fantastic,Can’t wait to use the basketball court and pool next year! Also a fantastic staff in the leasing office!,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
Seven07,apartments.com,5,12/12/18,Beautiful apartments!,"This place is going to be so cool, the amenities look insane!",https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/#reviewsSection
