address,street_address,building_name,price,beds,baths,sqft,home_type,status,rent_zestimate,city,state,zipcode,lat,lng,days_on_zillow,detail_url
"402 S Busey Ave, Urbana, IL 61801",402 S Busey Ave,,3300,6,3.0,2900.0,SINGLE_FAMILY,FOR_RENT,3204.0,Urbana,IL,61801.0,40.109623,-88.21739,64.0,https://www.zillow.com/homedetails/402-S-Busey-Ave-Urbana-IL-61801/3238420_zpid/
"1008 S Busey Ave APT 5, Urbana, IL 61801",1008 S Busey Ave APT 5,,1075,2,1.0,900.0,APARTMENT,FOR_RENT,1192.0,Urbana,IL,61801.0,40.104015,-88.21734,48.0,https://www.zillow.com/homedetails/1008-S-Busey-Ave-APT-5-Urbana-IL-61801/2094965487_zpid/
"808 Springfield Ave #2, Urbana, IL 61801",808 Springfield Ave #2,,1000,2,1.0,,APARTMENT,FOR_RENT,1023.0,Urbana,IL,61801.0,40.11285,-88.21875,24.0,https://www.zillow.com/homedetails/808-Springfield-Ave-2-Urbana-IL-61801/461332050_zpid/
"707 W Elm St #4, Urbana, IL 61801",707 W Elm St #4,,970,2,1.0,850.0,APARTMENT,FOR_RENT,1656.0,Urbana,IL,61801.0,40.111206,-88.2169,17.0,https://www.zillow.com/homedetails/707-W-Elm-St-4-Urbana-IL-61801/2060538913_zpid/
"1010 Springfield Ave #304, Urbana, IL 61801",1010 Springfield Ave #304,,725,0,1.0,,APARTMENT,FOR_RENT,803.0,Urbana,IL,61801.0,40.113007,-88.22184,166.0,https://www.zillow.com/homedetails/1010-Springfield-Ave-304-Urbana-IL-61801/457943142_zpid/
"1002 W Hill St #A, Urbana, IL 61801",1002 W Hill St #A,,1600,4,2.0,,APARTMENT,FOR_RENT,1591.0,Urbana,IL,61801.0,40.119434,-88.220894,13.0,https://www.zillow.com/homedetails/1002-W-Hill-St-A-Urbana-IL-61801/457995300_zpid/
"602 E Stoughton St #16, Champaign, IL 61820",602 E Stoughton St #16,,1640,1,1.0,615.0,APARTMENT,FOR_RENT,1410.0,Champaign,IL,61820.0,40.11376,-88.230125,158.0,https://www.zillow.com/homedetails/602-E-Stoughton-St-16-Champaign-IL-61820/449329366_zpid/
"908 Stoughton St #7, Urbana, IL 61801",908 Stoughton St #7,,1640,2,1.0,678.0,APARTMENT,FOR_RENT,,Urbana,IL,61801.0,40.11383,-88.22019,49.0,https://www.zillow.com/homedetails/908-Stoughton-St-7-Urbana-IL-61801/460782335_zpid/
"807 W Illinois St APT 6, Urbana, IL 61801",807 W Illinois St APT 6,,800,1,1.0,550.0,APARTMENT,FOR_RENT,991.0,Urbana,IL,61801.0,40.108784,-88.21886,4.0,https://www.zillow.com/homedetails/807-W-Illinois-St-APT-6-Urbana-IL-61801/2095941435_zpid/
"307 E White St, Champaign, IL 61820",307 E White St,,1250,0,1.0,342.0,APARTMENT,FOR_RENT,1051.0,Champaign,IL,61820.0,40.114143,-88.23446,49.0,https://www.zillow.com/homedetails/307-E-White-St-Champaign-IL-61820/116408629_zpid/
