,amenity_score,pet_score,price_score,value_bonus,total_score
ICON,0.8125,1.0,0.7779231575113172,0.04375817761001159,0.741
Latitude,0.9,0.0,0.7803443381840985,0.02341033014552295,0.674
Yugo,0.9,0.587,0.5945351004677244,0.017836053014031728,0.658
Octave,0.9,0.6,0.4864760945963055,0.014594282837889161,0.616
75 Armory,0.525,0.0,0.8927461603645975,0.12721632785195514,0.58
Illini Manor,0.275,0.0,1.0,0.2,0.53
Gregory,0.4375,0.0,0.7799227799227799,0.1316119691119691,0.5
707,0.9,0.307,0.2650695641277371,0.00795208692383211,0.498
T3,0.475,0.0,0.6752895752895753,0.10635810810810811,0.471
Here,0.9,0.0,0.26545034690541813,0.007963510407162542,0.467
Hub,0.9,0.6,0.03164556962025317,0.0009493670886075948,0.433
Dean,0.9,0.0,0.16549030507746124,0.004964709152323835,0.427
