apartment_id,apartment,building,walking_min,transit_min,bicycling_min
here,HERE Champaign,Grainger Engineering Library,11,7,3
here,HERE Champaign,Siebel Center for CS,16,15,5
here,HERE Champaign,Illini Union,10,4,3
here,HERE Champaign,CRCE,17,11,4
here,HERE Champaign,ARC,17,11,4
here,HERE Champaign,Main Library,14,10,4
here,HERE Champaign,Wohlers Hall,15,12,4
here,HERE Champaign,Everitt Lab,7,7,2
here,HERE Champaign,Loomis Lab,12,6,4
here,HERE Champaign,Lincoln Hall,12,9,4
here,HERE Champaign,Krannert Art Center,17,14,4
hub,Hub on Campus,Grainger Engineering Library,10,7,3
hub,Hub on Campus,Siebel Center for CS,15,8,4
hub,Hub on Campus,Illini Union,5,5,1
hub,Hub on Campus,CRCE,17,6,5
hub,Hub on Campus,ARC,17,6,5
hub,Hub on Campus,Main Library,6,6,2
hub,Hub on Campus,Wohlers Hall,7,7,2
hub,Hub on Campus,Everitt Lab,6,6,2
hub,Hub on Campus,Loomis Lab,10,7,4
hub,Hub on Campus,Lincoln Hall,3,3,1
hub,Hub on Campus,Krannert Art Center,12,6,3
dean,The Dean Campustown,Grainger Engineering Library,8,8,4
dean,The Dean Campustown,Siebel Center for CS,13,9,5
dean,The Dean Campustown,Illini Union,6,6,2
dean,The Dean Campustown,CRCE,19,8,5
dean,The Dean Campustown,ARC,19,8,5
dean,The Dean Campustown,Main Library,8,8,2
dean,The Dean Campustown,Wohlers Hall,10,8,2
dean,The Dean Campustown,Everitt Lab,4,4,3
dean,The Dean Campustown,Loomis Lab,9,9,4
dean,The Dean Campustown,Lincoln Hall,6,6,2
dean,The Dean Campustown,Krannert Art Center,14,8,3
icon,ICON Apartments,Grainger Engineering Library,10,10,3
icon,ICON Apartments,Siebel Center for CS,15,15,6
icon,ICON Apartments,Illini Union,13,7,4
icon,ICON Apartments,CRCE,21,13,5
icon,ICON Apartments,ARC,21,13,5
icon,ICON Apartments,Main Library,17,14,5
icon,ICON Apartments,Wohlers Hall,18,14,5
icon,ICON Apartments,Everitt Lab,10,8,3
icon,ICON Apartments,Loomis Lab,15,9,5
icon,ICON Apartments,Lincoln Hall,15,10,5
icon,ICON Apartments,Krannert Art Center,20,19,5
yugo,Yugo Urbana,Grainger Engineering Library,17,14,6
yugo,Yugo Urbana,Siebel Center for CS,10,10,2
yugo,Yugo Urbana,Illini Union,20,14,6
yugo,Yugo Urbana,CRCE,41,19,11
yugo,Yugo Urbana,ARC,41,19,11
yugo,Yugo Urbana,Main Library,29,17,8
yugo,Yugo Urbana,Wohlers Hall,32,15,8
yugo,Yugo Urbana,Everitt Lab,19,13,5
yugo,Yugo Urbana,Loomis Lab,15,10,4
yugo,Yugo Urbana,Lincoln Hall,25,13,8
yugo,Yugo Urbana,Krannert Art Center,37,20,9
latitude,Latitude Apartments,Grainger Engineering Library,9,8,3
latitude,Latitude Apartments,Siebel Center for CS,10,10,3
latitude,Latitude Apartments,Illini Union,14,9,4
latitude,Latitude Apartments,CRCE,31,9,8
latitude,Latitude Apartments,ARC,31,9,8
latitude,Latitude Apartments,Main Library,19,9,6
latitude,Latitude Apartments,Wohlers Hall,22,9,6
latitude,Latitude Apartments,Everitt Lab,11,7,4
latitude,Latitude Apartments,Loomis Lab,15,10,6
latitude,Latitude Apartments,Lincoln Hall,16,10,6
latitude,Latitude Apartments,Krannert Art Center,26,14,7
tower_at_third,The Tower at Third,Grainger Engineering Library,14,10,4
tower_at_third,The Tower at Third,Siebel Center for CS,20,11,6
tower_at_third,The Tower at Third,Illini Union,12,8,3
tower_at_third,The Tower at Third,CRCE,15,7,4
tower_at_third,The Tower at Third,ARC,15,7,4
tower_at_third,The Tower at Third,Main Library,13,7,3
