apartment_id,apartment,building,walking_min,transit_min,bicycling_min,amenity_score,pet_score,price_score,value_bonus,total_score
here,HERE Champaign,Grainger Engineering Library,11,7,3,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,Siebel Center for CS,16,15,5,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,Illini Union,10,4,3,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,CRCE,17,11,4,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,ARC,17,11,4,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,Main Library,14,10,4,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,Wohlers Hall,15,12,4,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,Everitt Lab,7,7,2,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,Loomis Lab,12,6,4,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,Lincoln Hall,12,9,4,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
here,HERE Champaign,Krannert Art Center,17,14,4,0.9,0.0,0.2654503469054181,0.0079635104071625,0.467
hub,Hub on Campus,Grainger Engineering Library,10,7,3,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,Siebel Center for CS,15,8,4,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,Illini Union,5,5,1,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,CRCE,17,6,5,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,ARC,17,6,5,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,Main Library,6,6,2,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,Wohlers Hall,7,7,2,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,Everitt Lab,6,6,2,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,Loomis Lab,10,7,4,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,Lincoln Hall,3,3,1,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
hub,Hub on Campus,Krannert Art Center,12,6,3,0.9,0.6,0.0316455696202531,0.0009493670886075,0.433
dean,The Dean Campustown,Grainger Engineering Library,8,8,4,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,Siebel Center for CS,13,9,5,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,Illini Union,6,6,2,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,CRCE,19,8,5,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,ARC,19,8,5,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,Main Library,8,8,2,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,Wohlers Hall,10,8,2,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,Everitt Lab,4,4,3,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,Loomis Lab,9,9,4,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,Lincoln Hall,6,6,2,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
dean,The Dean Campustown,Krannert Art Center,14,8,3,0.9,0.0,0.1654903050774612,0.0049647091523238,0.427
icon,ICON Apartments,Grainger Engineering Library,10,10,3,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,Siebel Center for CS,15,15,6,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,Illini Union,13,7,4,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,CRCE,21,13,5,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,ARC,21,13,5,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,Main Library,17,14,5,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,Wohlers Hall,18,14,5,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,Everitt Lab,10,8,3,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,Loomis Lab,15,9,5,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,Lincoln Hall,15,10,5,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
icon,ICON Apartments,Krannert Art Center,20,19,5,0.8125,1.0,0.7779231575113172,0.0437581776100115,0.741
yugo,Yugo Urbana,Grainger Engineering Library,17,14,6,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,Siebel Center for CS,10,10,2,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,Illini Union,20,14,6,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,CRCE,41,19,11,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,ARC,41,19,11,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,Main Library,29,17,8,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,Wohlers Hall,32,15,8,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,Everitt Lab,19,13,5,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,Loomis Lab,15,10,4,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,Lincoln Hall,25,13,8,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
yugo,Yugo Urbana,Krannert Art Center,37,20,9,0.9,0.587,0.5945351004677244,0.0178360530140317,0.658
